web-scraper-order,web-scraper-start-url,western union,raastreo,okey
"1599599988-10","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","No tienes el MTCN?",""
"1599599988-8","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","Puedes encontrar tu número de transferencia (MTCN) en la página del historial de transacciones, en tu recibo impreso o en tu recibo enviado por correo electrónico.",""
"1599599988-2","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","",""
"1599599988-3","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","Puedes encontrar tu número de transferencia (MTCN) en la página del historial de transacciones, en tu recibo impreso o en tu recibo enviado por correo electrónico.","",""
"1599599988-4","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","Rastrear transferencia","",""
"1599599988-7","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","",""
"1599599988-11","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","",""
"1599599988-5","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","No tienes el MTCN?","",""
"1599599988-1","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","Seguimiento de Transferencia","",""
"1599599988-6","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","Seguimiento de Transferencia",""
"1599599988-12","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","","Rastrear transferencia"
"1599599988-9","https://www.westernunion.com/global-service/track-transfer?WULanguage=es&WUCountry=ES","","Rastrear transferencia",""
